実質季節調整系列,,,,,,,,,,,,,,,,<参考>,,,,,,,,,,,,,(単位:2020暦年連鎖価格、10億円),,,
"Real, Seasonally Adjusted Series",,,,,,,,,,,,,,,,<cf>,,,,,,,,,,,,,(Billions of Chained (2020) Yen),,,
,国内総生産(支出側),民間最終消費支出,,,民間住宅,民間企業設備,民間在庫変動,政府最終消費支出,公的固定資本形成,公的在庫変動,財貨・サービス,,,開差,,交易利得,国内総所得,海外からの所得,,,国民総所得,,国内需要,民間需要,公的需要,,総固定資本形成,,最終需要,,,
,,,家計最終消費支出,,,,,,,,純輸出,輸出,輸入,,,,,純受取,受取,支払,,,,,,,,,,,,
,,,,除く持ち家の帰属家賃,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GDP(Expenditure Approach),PrivateConsumption,Consumption ofHouseholds,ExcludingImputed Rent,PrivateResidentialInvestment,Private Non-Resi.Investment,Changein PrivateInventories,GovernmentConsumption,PublicInvestment,Changein PublicInventories,Goods & Services,,,Residual,,TradingGains/Losses,GDI,Income from /to the Rest of the World,,,GNI,,DomesticDemand,PrivateDemand,PublicDemand,,Gross Fixed CapitalFormation,,Final Sales of Domestic Product,,,
,,,,,,,,,,,Net Exports,Exports,Imports,,,,,Net,Receipt,Payment,,,,,,,,,,,,
10-12.,"567,319.0 ","301,377.9 ","291,590.5 ","239,285.3 ","24,174.3 ","97,794.6 ",613.9 ,"111,473.7 ","29,640.9 ",-61.0 ,"2,453.6 ","93,823.9 ","91,370.3 ",-148.8 ,,"-4,048.6 ","563,270.4 ","21,183.3 ","33,844.9 ","12,661.6 ","584,453.7 ",,"565,002.4 ","423,987.0 ","141,050.8 ",,"151,608.3 ",,"566,717.8 ",,,
2020/ 1- 3.,"569,205.9 ","301,729.8 ","291,607.5 ","239,200.2 ","23,033.7 ","100,981.6 ",-270.4 ,"111,890.9 ","29,370.4 ",-50.5 ,"2,410.7 ","90,329.1 ","87,918.4 ",109.9 ,,"-3,727.5 ","565,478.5 ","22,001.5 ","33,564.6 ","11,563.1 ","587,479.9 ",,"566,666.9 ","425,495.7 ","141,212.9 ",,"153,410.9 ",,"569,520.4 ",,,
4- 6.,"528,202.4 ","278,910.1 ","268,286.8 ","215,836.2 ","23,222.4 ","94,292.9 ","1,758.2 ","111,939.5 ","31,435.1 ",39.7 ,"-12,874.8 ","74,308.7 ","87,183.5 ",-520.8 ,,"1,193.7 ","529,396.0 ","18,058.5 ","28,784.9 ","10,726.4 ","547,454.5 ",,"541,715.6 ","398,283.3 ","143,405.0 ",,"148,929.5 ",,"526,293.7 ",,,
7- 9.,"554,765.2 ","293,554.3 ","282,485.6 ","229,884.6 ","22,129.2 ","95,114.2 ","-2,243.0 ","114,017.9 ","31,007.8 ",69.8 ,797.8 ,"81,479.3 ","80,681.4 ",317.2 ,,"1,062.1 ","555,827.3 ","18,842.1 ","29,465.9 ","10,623.9 ","574,669.3 ",,"553,622.1 ","408,502.8 ","145,107.1 ",,"148,245.5 ",,"556,972.1 ",,,
10-12.,"563,927.1 ","298,924.9 ","287,774.8 ","235,047.1 ","22,166.9 ","97,025.9 ","-3,496.5 ","115,066.1 ","31,139.5 ",-51.2 ,"3,057.7 ","88,458.4 ","85,400.7 ",93.7 ,,"1,705.7 ","565,632.8 ","20,119.5 ","29,875.9 ","9,756.3 ","585,752.3 ",,"560,704.4 ","414,552.2 ","146,150.0 ",,"150,333.7 ",,"567,558.2 ",,,
2021/ 1- 3.,"570,638.8 ","296,751.6 ","285,884.6 ","233,076.8 ","22,724.4 ","99,363.5 ",713.4 ,"114,981.8 ","30,738.8 ",33.0 ,"5,310.5 ","92,415.3 ","87,104.8 ",21.8 ,,"-2,599.5 ","568,039.3 ","22,359.3 ","33,167.2 ","10,807.9 ","590,398.6 ",,"565,271.5 ","419,517.0 ","145,755.7 ",,"152,827.0 ",,"569,938.7 ",,,
4- 6.,"574,086.9 ","298,655.4 ","288,130.5 ","235,212.0 ","22,773.1 ","100,338.2 ",682.1 ,"118,064.9 ","30,198.4 ",-11.6 ,"3,398.6 ","94,695.2 ","91,296.6 ",-12.1 ,,"-5,278.6 ","568,808.3 ","27,443.1 ","38,893.7 ","11,450.7 ","596,251.3 ",,"570,694.1 ","422,440.4 ","148,255.6 ",,"153,309.2 ",,"573,429.4 ",,,
7- 9.,"572,992.3 ","295,862.6 ","285,536.1 ","232,506.5 ","22,570.3 ","99,049.1 ","2,504.2 ","118,731.7 ","29,687.1 ",-57.8 ,"4,657.1 ","93,978.7 ","89,321.5 ",-12.0 ,,"-8,227.9 ","564,764.4 ","26,834.2 ","38,366.1 ","11,531.9 ","591,598.6 ",,"568,362.1 ","420,000.5 ","148,361.9 ",,"151,306.0 ",,"570,529.9 ",,,
10-12.,"579,748.9 ","304,654.9 ","294,381.8 ","241,240.4 ","22,618.8 ","99,163.9 ","2,535.8 ","117,891.6 ","29,039.3 ",-23.3 ,"3,841.8 ","93,471.3 ","89,629.4 ",26.1 ,,"-10,821.7 ","568,927.2 ","28,195.6 ","40,889.6 ","12,694.0 ","597,122.9 ",,"575,908.6 ","429,004.9 ","146,900.7 ",,"150,821.5 ",,"577,194.2 ",,,
2022/ 1- 3.,"577,204.4 ","301,920.7 ","291,559.0 ","238,302.0 ","22,672.8 ","99,778.5 ","3,198.6 ","118,491.6 ","27,548.7 ",-17.0 ,"3,799.2 ","96,992.3 ","93,193.1 ",-188.8 ,,"-13,753.3 ","563,451.1 ","31,764.2 ","44,554.1 ","12,789.9 ","595,215.3 ",,"573,661.4 ","427,671.8 ","145,978.3 ",,"149,994.9 ",,"573,900.8 ",,,
4- 6.,"582,704.7 ","306,695.7 ","296,258.0 ","242,914.7 ","22,596.2 ","102,226.8 ","1,880.8 ","119,613.6 ","26,952.0 ",98.0 ,"3,004.5 ","97,706.9 ","94,702.4 ",-362.9 ,,"-17,387.8 ","565,317.0 ","30,766.7 ","44,663.3 ","13,896.6 ","596,083.7 ",,"580,046.2 ","433,395.3 ","146,629.5 ",,"151,747.5 ",,"580,671.3 ",,,
7- 9.,"581,145.9 ","306,768.1 ","296,305.3 ","242,859.6 ","22,905.2 ","103,575.1 ","2,537.5 ","118,922.0 ","27,206.3 ",-168.0 ,352.6 ,"99,539.2 ","99,186.6 ",-952.9 ,,"-20,465.2 ","560,680.7 ","33,272.0 ","47,793.3 ","14,521.3 ","593,952.7 ",,"581,731.5 ","435,835.3 ","145,865.9 ",,"153,658.1 ",,"578,736.2 ",,,
10-12.,"584,042.1 ","307,690.4 ","297,185.6 ","243,637.8 ","22,827.1 ","103,444.5 ","1,894.6 ","120,031.9 ","27,597.8 ",107.2 ,"1,398.9 ","100,392.8 ","98,993.9 ",-950.4 ,,"-18,597.9 ","565,444.3 ","37,906.4 ","54,368.3 ","16,461.9 ","603,350.6 ",,"583,591.0 ","435,842.3 ","147,728.1 ",,"153,838.5 ",,"581,985.0 ",,,
2023/ 1- 3.,"589,145.6 ","309,273.6 ","298,709.0 ","245,049.3 ","22,875.2 ","105,402.6 ","1,060.3 ","120,223.4 ","28,806.9 ",68.1 ,"1,995.9 ","99,242.3 ","97,246.5 ",-560.5 ,,"-16,922.3 ","572,223.2 ","30,731.5 ","49,328.9 ","18,597.4 ","602,954.8 ",,"587,577.5 ","438,440.2 ","149,129.2 ",,"157,027.8 ",,"588,184.2 ",,,
4- 6.,"589,531.5 ","306,504.3 ","295,831.9 ","242,074.5 ","23,587.2 ","104,147.6 ","1,155.0 ","118,499.1 ","28,153.5 ",-106.2 ,"6,701.4 ","100,706.8 ","94,005.4 ",889.6 ,,"-11,816.6 ","577,714.9 ","33,937.2 ","53,577.6 ","19,640.4 ","611,652.1 ",,"581,796.4 ","435,295.4 ","146,465.8 ",,"155,889.2 ",,"588,759.5 ",,,
7- 9.,"582,160.1 ","304,318.9 ","293,545.6 ","239,701.4 ","23,273.6 ","103,884.1 ","-2,160.9 ","118,692.1 ","27,710.3 ",-197.5 ,"6,944.5 ","102,145.9 ","95,201.4 ",-305.0 ,,"-10,114.4 ","572,045.7 ","32,626.5 ","53,692.5 ","21,066.0 ","604,672.2 ",,"574,733.5 ","428,679.4 ","146,053.1 ",,"154,853.5 ",,"585,551.4 ",,,
10-12.,"584,932.5 ","304,266.9 ","293,514.3 ","239,598.3 ","23,257.3 ","105,531.3 ",-627.8 ,"118,704.3 ","27,626.1 ",-173.5 ,"6,872.0 ","104,730.7 ","97,858.6 ",-524.1 ,,"-11,010.6 ","573,921.9 ","34,611.3 ","56,045.7 ","21,434.4 ","608,533.1 ",,"578,080.3 ","432,035.6 ","146,021.7 ",,"156,377.8 ",,"586,423.2 ",,,
2024/ 1- 3.,"584,381.3 ","303,478.6 ","292,865.3 ","238,926.4 ","22,969.1 ","104,770.1 ",-489.7 ,"119,116.1 ","27,351.6 ",-182.8 ,"7,214.9 ","101,578.5 ","94,363.6 ",153.4 ,,"-11,911.0 ","572,470.3 ","33,031.2 ","55,638.7 ","22,607.4 ","605,501.6 ",,"576,484.1 ","430,348.9 ","146,126.6 ",,"155,050.4 ",,"585,707.9 ",,,
4- 6.,"583,705.1 ","303,464.5 ","293,058.0 ","239,053.2 ","22,874.7 ","105,835.4 ","-1,343.2 ","121,426.8 ","27,499.2 ",-34.6 ,"4,845.3 ","102,435.3 ","97,590.0 ",-863.0 ,,"-9,297.1 ","574,408.0 ","36,646.3 ","59,552.0 ","22,905.7 ","611,054.3 ",,"579,059.4 ","430,328.8 ","148,784.5 ",,"156,154.9 ",,"585,816.9 ",,,
7- 9.,"588,580.5 ","304,968.5 ","294,718.0 ","240,637.6 ","23,196.2 ","106,807.9 ",512.9 ,"121,531.3 ","27,878.3 ",-28.7 ,"4,562.5 ","105,002.1 ","100,439.6 ",-848.4 ,,"-9,121.8 ","579,458.7 ","35,675.9 ","59,507.6 ","23,831.8 ","615,134.6 ",,"584,544.6 ","435,277.1 ","149,293.3 ",,"157,832.8 ",,"588,474.6 ",,,
10-12.,"590,926.5 ","304,933.4 ","294,678.3 ","240,528.1 ","23,363.8 ","105,955.2 ",-785.7 ,"121,618.9 ","27,788.3 ",-149.0 ,"8,240.4 ","106,689.2 ","98,448.8 ",-38.9 ,,"-9,023.0 ","581,903.5 ","34,255.2 ","57,513.3 ","23,258.0 ","616,158.7 ",,"582,135.7 ","433,069.8 ","149,105.9 ",,"157,073.5 ",,"592,545.8 ",,,
2025/ 1- 3.,"593,896.1 ","306,742.9 ","296,320.5 ","242,090.7 ","23,247.9 ","107,180.1 ","2,562.0 ","121,346.6 ","27,570.1 ",15.9 ,"5,436.5 ","105,892.1 ","100,455.7 ",-205.8 ,,"-10,755.9 ","583,140.2 ","35,921.3 ","59,390.7 ","23,469.4 ","619,061.5 ",,"588,735.3 ","439,840.2 ","148,859.7 ",,"157,947.3 ",,"591,287.2 ",,,
4- 6.,"594,629.6 ","307,182.8 ","296,609.3 ","242,316.5 ","23,381.8 ","108,590.4 ","1,103.7 ","121,970.0 ","27,804.9 ",-104.4 ,"5,403.5 ","107,656.8 ","102,253.3 ",-703.0 ,,"-6,839.0 ","587,790.7 ","34,705.3 ","57,823.7 ","23,118.4 ","622,496.0 ",,"589,713.4 ","440,160.0 ","149,536.3 ",,"159,718.4 ",,"593,943.1 ",,,
7- 9.,"592,407.5 ","308,872.9 ","298,209.8 ","243,868.6 ","21,525.6 ","108,358.2 ",578.1 ,"122,155.1 ","27,485.4 ",-51.8 ,"4,558.1 ","106,201.5 ","101,643.4 ","-1,074.0 ",,"-6,304.9 ","586,102.6 ","38,174.3 ","61,467.0 ","23,292.7 ","624,276.9 ",,"588,489.0 ","439,023.2 ","149,458.7 ",,"157,241.7 ",,"592,265.6 ",,,
10-12.,"593,959.0 ","309,356.6 ","298,564.5 ","244,169.3 ","22,592.9 ","109,750.3 ","-1,368.3 ","122,689.1 ","27,359.8 ",-77.4 ,"4,866.8 ","106,354.3 ","101,487.4 ","-1,210.8 ",,"-5,747.6 ","588,211.4 ","35,084.6 ","59,382.2 ","24,297.6 ","623,296.0 ",,"589,609.6 ","439,795.1 ","149,810.5 ",,"159,602.4 ",,"596,173.6 ",,,
2026/ 1- 3.,"596,799.3 ","310,743.1 ","299,783.6 ","245,322.5 ","22,806.4 ","108,653.4 ","-1,642.9 ","123,149.7 ","27,731.1 ",-99.2 ,"6,411.7 ","108,156.3 ","101,744.6 ",-954.0 ,,"-6,985.7 ","589,813.6 ","35,833.6 ","60,545.5 ","24,712.0 ","625,647.1 ",,"590,583.1 ","439,973.4 ","150,631.9 ",,"159,112.1 ",,"599,365.6 ",,,
4- 6.,"598,950.5 ","310,766.3 ","299,633.5 ","245,122.0 ","22,672.2 ","107,633.8 ",-89.0 ,"125,211.3 ","27,603.6 ","-2,319.5 ","8,554.1 ","108,593.3 ","100,039.2 ","-1,082.3 ",,"-8,500.0 ","590,450.6 ","32,857.4 ","59,325.0 ","26,467.6 ","623,308.0 ",,"589,985.1 ","440,582.7 ","149,374.2 ",,"157,835.4 ",,"602,790.3 ",,,
＊年率で表示している。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
＊開差＝国内総生産(支出側)－国内総生産(支出側)の内訳項目計,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
＊財貨・サービスの純輸出は連鎖方式での計算ができないため、財貨・サービスの輸出－財貨・サービスの輸入により求めている。このため寄与度とは符号が一致しない場合がある。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
