実質季節調整系列,,,,,,,,,,,,,,,,<参考>,,,,,,,,,,,,,(単位:2020暦年連鎖価格、10億円),,,
"Real, Seasonally Adjusted Series",,,,,,,,,,,,,,,,<cf>,,,,,,,,,,,,,(Billions of Chained (2020) Yen),,,
,国内総生産(支出側),民間最終消費支出,,,民間住宅,民間企業設備,民間在庫変動,政府最終消費支出,公的固定資本形成,公的在庫変動,財貨・サービス,,,開差,,交易利得,国内総所得,海外からの所得,,,国民総所得,,国内需要,民間需要,公的需要,,総固定資本形成,,最終需要,,,
,,,家計最終消費支出,,,,,,,,純輸出,輸出,輸入,,,,,純受取,受取,支払,,,,,,,,,,,,
,,,,除く持ち家の帰属家賃,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GDP(Expenditure Approach),PrivateConsumption,Consumption ofHouseholds,ExcludingImputed Rent,PrivateResidentialInvestment,Private Non-Resi.Investment,Changein PrivateInventories,GovernmentConsumption,PublicInvestment,Changein PublicInventories,Goods & Services,,,Residual,,TradingGains/Losses,GDI,Income from /to the Rest of the World,,,GNI,,DomesticDemand,PrivateDemand,PublicDemand,,Gross Fixed CapitalFormation,,Final Sales of Domestic Product,,,
,,,,,,,,,,,Net Exports,Exports,Imports,,,,,Net,Receipt,Payment,,,,,,,,,,,,
4- 6.,"485,683.3 ","267,447.2 ","262,208.6 ","222,292.3 ","31,302.9 ","79,191.8 ","-3,744.9 ","80,740.3 ","48,521.7 ",-8.8 ,"-8,799.9 ","41,172.1 ","49,972.0 ","-8,966.9 ",,"16,325.3 ","502,008.6 ","6,340.2 ","10,327.5 ","3,987.3 ","508,348.9 ",,"500,103.2 ","373,453.6 ","126,775.3 ",,"156,314.9 ",,"488,638.5 ",,,
7- 9.,"488,378.6 ","269,628.6 ","264,203.1 ","224,029.5 ","31,417.1 ","78,753.8 ","-3,331.1 ","81,685.7 ","46,960.4 ",-9.8 ,"-8,342.7 ","42,904.3 ","51,247.0 ","-8,383.3 ",,"15,469.9 ","503,848.5 ","6,447.1 ","10,128.0 ","3,680.8 ","510,295.6 ",,"501,877.5 ","375,675.7 ","126,309.6 ",,"154,524.4 ",,"490,937.0 ",,,
10-12.,"488,086.8 ","269,800.9 ","264,397.1 ","223,979.7 ","30,227.8 ","79,734.8 ","-3,552.0 ","82,022.0 ","46,727.1 ",-367.2 ,"-8,896.9 ","43,893.3 ","52,790.2 ","-7,609.9 ",,"16,425.4 ","504,512.2 ","6,769.8 ","10,335.5 ","3,565.7 ","511,282.0 ",,"501,698.5 ","375,652.1 ","126,148.8 ",,"154,338.6 ",,"491,131.8 ",,,
2000/ 1- 3.,"497,259.3 ","272,071.2 ","266,917.9 ","226,245.5 ","30,670.2 ","83,389.0 ","-1,999.0 ","83,102.4 ","43,649.0 ",173.4 ,"-6,556.2 ","46,242.4 ","52,798.6 ","-7,240.7 ",,"14,796.3 ","512,055.6 ","6,450.8 ","10,687.4 ","4,236.6 ","518,506.4 ",,"508,541.5 ","383,635.1 ","124,918.0 ",,"155,865.0 ",,"498,409.0 ",,,
4- 6.,"500,301.0 ","271,400.6 ","266,576.3 ","225,656.2 ","31,520.9 ","82,327.7 ","1,684.9 ","84,158.8 ","43,296.1 ",39.0 ,"-7,160.9 ","47,698.1 ","54,859.0 ","-6,966.1 ",,"15,397.6 ","515,698.6 ","7,814.9 ","11,495.2 ","3,680.3 ","523,513.5 ",,"511,716.2 ","386,158.8 ","125,563.2 ",,"155,147.1 ",,"498,102.7 ",,,
7- 9.,"500,074.0 ","271,786.4 ","267,198.0 ","226,029.4 ","31,005.2 ","85,037.4 ","-1,119.8 ","84,817.5 ","42,589.1 ",-46.0 ,"-7,779.3 ","48,492.0 ","56,271.3 ","-6,216.6 ",,"14,958.3 ","515,032.3 ","7,781.6 ","11,590.8 ","3,809.2 ","522,814.0 ",,"511,722.6 ","386,211.8 ","125,517.6 ",,"156,961.6 ",,"500,577.5 ",,,
10-12.,"505,256.9 ","275,115.2 ","270,561.2 ","229,125.2 ","31,564.7 ","87,711.0 ",310.7 ,"85,326.0 ","41,285.3 ",-69.2 ,"-10,066.9 ","48,306.5 ","58,373.4 ","-5,920.0 ",,"15,548.8 ","520,805.6 ","7,793.1 ","12,005.1 ","4,212.0 ","528,598.7 ",,"519,090.5 ","394,207.0 ","124,824.2 ",,"159,129.1 ",,"504,434.5 ",,,
2001/ 1- 3.,"508,212.3 ","276,417.5 ","271,694.1 ","230,006.7 ","31,576.2 ","87,952.0 ","2,230.7 ","85,445.6 ","42,963.8 ",17.3 ,"-11,916.7 ","46,563.8 ","58,480.5 ","-6,474.0 ",,"15,471.1 ","523,683.5 ","8,062.9 ","12,344.5 ","4,281.6 ","531,746.4 ",,"524,225.0 ","397,630.4 ","126,556.1 ",,"160,921.8 ",,"505,514.9 ",,,
4- 6.,"504,356.6 ","279,081.1 ","274,146.0 ","232,216.5 ","29,953.7 ","85,288.0 ","2,488.4 ","86,184.3 ","40,388.3 ",-205.8 ,"-12,408.6 ","44,790.6 ","57,199.2 ","-6,412.8 ",,"14,437.8 ","518,794.4 ","7,857.9 ","11,937.3 ","4,079.4 ","526,652.3 ",,"521,153.6 ","396,366.4 ","124,732.8 ",,"154,288.7 ",,"501,616.1 ",,,
7- 9.,"498,418.6 ","278,528.7 ","273,463.1 ","231,294.2 ","29,814.2 ","83,986.7 ","-2,191.2 ","86,281.5 ","40,449.5 ",-237.4 ,"-11,707.7 ","43,836.6 ","55,544.3 ","-6,505.7 ",,"14,197.9 ","512,616.5 ","7,782.9 ","11,651.6 ","3,868.7 ","520,399.5 ",,"514,680.3 ","389,799.5 ","124,858.5 ",,"152,829.8 ",,"500,097.2 ",,,
